kernel,probability,time,accuracy,precision,recall
linear,True,0.8956756591796875,0.7558282208588957,0.7524752475247525,0.7543424317617866
linear,False,0.21060752868652344,0.7558282208588957,0.7524752475247525,0.7543424317617866
poly,True,0.6273815631866455,0.7717791411042945,0.7719298245614035,0.7642679900744417
poly,False,0.12700223922729492,0.7717791411042945,0.7719298245614035,0.7642679900744417
rbf,True,0.8718929290771484,0.7680981595092025,0.7715736040609137,0.7543424317617866
rbf,False,0.1349174976348877,0.7680981595092025,0.7715736040609137,0.7543424317617866
sigmoid,True,0.851226806640625,0.6809815950920245,0.6783042394014963,0.674937965260546
sigmoid,False,0.16599774360656738,0.6809815950920245,0.6783042394014963,0.674937965260546
