crit,split,depth,time,accuracy,precision,recall
gini,best,1,0.0029349327087402344,0.7245949926362297,0.8295687885010267,0.581294964028777
gini,best,2,0.0029675960540771484,0.7871870397643593,0.776566757493188,0.8201438848920863
gini,best,4,0.0060002803802490234,0.8195876288659794,0.8826530612244898,0.7467625899280576
gini,best,6,0.009089946746826172,0.8402061855670103,0.8504398826979472,0.8345323741007195
gini,best,8,0.011037588119506836,0.8365243004418262,0.8472834067547724,0.8302158273381295
gini,best,10,0.013013124465942383,0.8262150220913107,0.8191933240611962,0.8474820143884892
gini,best,12,0.017036914825439453,0.8159057437407953,0.8060522696011004,0.8431654676258993
gini,best,14,0.01699972152709961,0.8041237113402062,0.8042553191489362,0.8158273381294964
gini,best,16,0.01699662208557129,0.7938144329896907,0.8020378457059679,0.7928057553956834
gini,best,18,0.017001867294311523,0.7849779086892489,0.7916063675832128,0.7870503597122303
gini,best,20,0.018033266067504883,0.788659793814433,0.8044776119402985,0.7755395683453238
gini,best,22,0.017997026443481445,0.7871870397643593,0.7985294117647059,0.781294964028777
gini,best,24,0.016994953155517578,0.7835051546391752,0.797037037037037,0.7741007194244605
gini,best,26,0.017000436782836914,0.7835051546391752,0.797037037037037,0.7741007194244605
gini,best,28,0.019005298614501953,0.7835051546391752,0.797037037037037,0.7741007194244605
gini,best,30,0.01897716522216797,0.7835051546391752,0.797037037037037,0.7741007194244605
gini,random,1,0.001096963882446289,0.6119293078055965,0.5780669144981413,0.8949640287769784
gini,random,2,0.000993490219116211,0.719440353460972,0.8634259259259259,0.5366906474820143
gini,random,4,0.001961946487426758,0.8004418262150221,0.8719298245614036,0.7151079136690648
gini,random,6,0.003966808319091797,0.8298969072164949,0.8569230769230769,0.8014388489208633
gini,random,8,0.005033969879150391,0.8262150220913107,0.8440779610194903,0.8100719424460432
gini,random,10,0.0059511661529541016,0.833578792341679,0.8433382137628112,0.8287769784172662
gini,random,12,0.007955551147460938,0.8225331369661266,0.8206214689265536,0.8359712230215828
gini,random,14,0.008968353271484375,0.7938144329896907,0.8177641653905053,0.7683453237410072
gini,random,16,0.008037090301513672,0.812960235640648,0.8209606986899564,0.8115107913669065
gini,random,18,0.00899195671081543,0.7768777614138439,0.7960725075528701,0.758273381294964
gini,random,20,0.008021116256713867,0.7916053019145802,0.8029411764705883,0.7856115107913669
gini,random,22,0.00800013542175293,0.7768777614138439,0.7942942942942943,0.7611510791366907
gini,random,24,0.010038375854492188,0.7746686303387335,0.7798561151079136,0.7798561151079136
gini,random,26,0.008998394012451172,0.7864506627393225,0.7991137370753324,0.7784172661870503
gini,random,28,0.009021759033203125,0.7864506627393225,0.7991137370753324,0.7784172661870503
gini,random,30,0.011037826538085938,0.7864506627393225,0.7991137370753324,0.7784172661870503
entropy,best,1,0.0030024051666259766,0.7216494845360825,0.8394004282655246,0.5640287769784172
entropy,best,2,0.00493621826171875,0.7216494845360825,0.8394004282655246,0.5640287769784172
entropy,best,4,0.007032632827758789,0.8276877761413843,0.8028909329829172,0.879136690647482
entropy,best,6,0.01396799087524414,0.8365243004418262,0.8514115898959881,0.8244604316546763
entropy,best,8,0.015041828155517578,0.8372606774668631,0.8547904191616766,0.8215827338129497
entropy,best,10,0.018177509307861328,0.8387334315169367,0.8352112676056338,0.8532374100719424
entropy,best,12,0.020545005798339844,0.8203240058910162,0.8153846153846154,0.8388489208633093
entropy,best,14,0.01896190643310547,0.801178203240059,0.8195488721804511,0.7841726618705036
entropy,best,16,0.02001190185546875,0.801178203240059,0.812960235640648,0.7942446043165468
entropy,best,18,0.021019458770751953,0.7967599410898379,0.812220566318927,0.7841726618705036
entropy,best,20,0.020991802215576172,0.7864506627393225,0.8008915304606241,0.7755395683453238
entropy,best,22,0.022003650665283203,0.788659793814433,0.8026706231454006,0.7784172661870503
entropy,best,24,0.021047115325927734,0.7871870397643593,0.799410029498525,0.7798561151079136
entropy,best,26,0.022000551223754883,0.7908689248895434,0.801762114537445,0.7856115107913669
entropy,best,28,0.02295517921447754,0.7790868924889544,0.7952167414050823,0.7654676258992805
entropy,best,30,0.020961284637451172,0.7783505154639175,0.7957957957957958,0.762589928057554
entropy,random,1,0.0009992122650146484,0.6119293078055965,0.5780669144981413,0.8949640287769784
entropy,random,2,0.0020024776458740234,0.719440353460972,0.8634259259259259,0.5366906474820143
entropy,random,4,0.003939628601074219,0.7842415316642121,0.8361204013377926,0.7194244604316546
entropy,random,6,0.003996133804321289,0.7820324005891016,0.8581687612208259,0.6877697841726619
entropy,random,8,0.005015850067138672,0.7960235640648011,0.8591065292096219,0.7194244604316546
entropy,random,10,0.005997896194458008,0.833578792341679,0.8423357664233576,0.8302158273381295
entropy,random,12,0.0070362091064453125,0.8247422680412371,0.820476858345021,0.841726618705036
entropy,random,14,0.006989240646362305,0.8114874815905744,0.8149210903873745,0.8172661870503597
entropy,random,16,0.011404037475585938,0.8085419734904271,0.812051649928264,0.814388489208633
entropy,random,18,0.011858701705932617,0.7997054491899853,0.8078602620087336,0.7985611510791367
entropy,random,20,0.009012699127197266,0.7798232695139912,0.7869565217391304,0.781294964028777
entropy,random,22,0.010034322738647461,0.7812960235640648,0.7859195402298851,0.7870503597122303
entropy,random,24,0.009969472885131836,0.8085419734904271,0.8156748911465893,0.8086330935251799
entropy,random,26,0.008996009826660156,0.7835051546391752,0.8051750380517504,0.7611510791366907
entropy,random,28,0.00996255874633789,0.7842415316642121,0.8,0.7712230215827338
entropy,random,30,0.009998083114624023,0.7835051546391752,0.7868383404864091,0.7913669064748201
