loss,learning_rate,n_estimators,time,accuracy,precision,recall
log_loss,0.1,10,0.03199958801269531,0.758282208588957,0.7845303867403315,0.7047146401985112
log_loss,0.1,20,0.06499934196472168,0.7705521472392638,0.7783505154639175,0.749379652605459
log_loss,0.1,30,0.08800005912780762,0.7815950920245399,0.783375314861461,0.771712158808933
log_loss,0.1,40,0.11799907684326172,0.7779141104294478,0.7803030303030303,0.7667493796526055
log_loss,0.1,50,0.1419994831085205,0.7779141104294478,0.7761194029850746,0.7741935483870968
log_loss,0.1,75,0.21907782554626465,0.7791411042944786,0.7794486215538847,0.771712158808933
log_loss,0.1,100,0.292924165725708,0.7828220858895706,0.7825,0.7766749379652605
log_loss,0.1,125,0.408189058303833,0.7865030674846626,0.7869674185463659,0.7791563275434243
log_loss,0.1,150,0.4582557678222656,0.7791411042944786,0.7822784810126582,0.7667493796526055
log_loss,0.1,200,0.5512917041778564,0.7779141104294478,0.7761194029850746,0.7741935483870968
log_loss,0.1,250,0.6907033920288086,0.7779141104294478,0.7788944723618091,0.7692307692307693
log_loss,0.1,300,0.828364372253418,0.7705521472392638,0.77,0.7642679900744417
log_loss,0.1,350,0.9751205444335938,0.7693251533742331,0.7680798004987531,0.7642679900744417
log_loss,0.1,400,1.098968505859375,0.7656441717791411,0.765,0.7593052109181141
log_loss,0.1,500,1.3696043491363525,0.7668711656441718,0.762962962962963,0.7667493796526055
log_loss,0.5,10,0.0279998779296875,0.7680981595092025,0.786096256684492,0.7295285359801489
log_loss,0.5,20,0.05499911308288574,0.7570552147239263,0.7621483375959079,0.739454094292804
log_loss,0.5,30,0.0839989185333252,0.7705521472392638,0.7797927461139896,0.7468982630272953
log_loss,0.5,40,0.11099910736083984,0.7595092024539877,0.7702349869451697,0.7320099255583127
log_loss,0.5,50,0.1390066146850586,0.747239263803681,0.7545219638242894,0.7245657568238213
log_loss,0.5,75,0.21207118034362793,0.747239263803681,0.7506361323155216,0.7320099255583127
log_loss,0.5,100,0.28693485260009766,0.7521472392638037,0.7544303797468355,0.739454094292804
log_loss,0.5,125,0.3562908172607422,0.7386503067484662,0.7411167512690355,0.7245657568238213
log_loss,0.5,150,0.4196634292602539,0.750920245398773,0.7525252525252525,0.739454094292804
log_loss,0.5,200,0.5677921772003174,0.7533742331288343,0.7525,0.7468982630272953
log_loss,0.5,250,0.6894729137420654,0.7533742331288343,0.7537688442211056,0.7444168734491315
log_loss,0.5,300,0.8229334354400635,0.7521472392638037,0.749379652605459,0.749379652605459
log_loss,0.5,350,0.9651761054992676,0.7570552147239263,0.7518427518427518,0.7593052109181141
log_loss,0.5,400,1.109163761138916,0.7533742331288343,0.7525,0.7468982630272953
