kernel,probability,degree,time,accuracy,precision,recall
poly,True,1,1.009122610092163,0.7558282208588957,0.7524752475247525,0.7543424317617866
poly,True,2,1.2115402221679688,0.7496932515337423,0.7432762836185819,0.7543424317617866
poly,True,3,0.8645365238189697,0.7717791411042945,0.7719298245614035,0.7642679900744417
poly,True,4,1.0018761157989502,0.754601226993865,0.7457627118644068,0.7642679900744417
poly,True,5,0.9861829280853271,0.7533742331288343,0.7487684729064039,0.7543424317617866
poly,True,6,1.0797576904296875,0.7460122699386503,0.7578947368421053,0.7146401985111662
poly,True,7,1.0522308349609375,0.7460122699386503,0.7367149758454107,0.7568238213399504
poly,True,8,1.2579889297485352,0.7460122699386503,0.8161290322580645,0.6277915632754343
poly,True,9,1.1921429634094238,0.7570552147239263,0.8078078078078078,0.6674937965260546
poly,True,10,1.3632018566131592,0.6883435582822086,0.8530805687203792,0.4466501240694789
