neighbors,algorithm,metric,time,accuracy,precision,recall
1,ball_tree,euclidean,0.009010553359985352,0.7569955817378498,0.7777777777777778,0.7352517985611511
1,ball_tree,manhattan,0.008004903793334961,0.7569955817378498,0.7829457364341085,0.7266187050359713
1,kd_tree,euclidean,0.013992071151733398,0.7569955817378498,0.7777777777777778,0.7352517985611511
1,kd_tree,manhattan,0.014034509658813477,0.7569955817378498,0.7829457364341085,0.7266187050359713
1,brute,euclidean,0.000982046127319336,0.7569955817378498,0.7777777777777778,0.7352517985611511
1,brute,manhattan,0.0010004043579101562,0.7569955817378498,0.7829457364341085,0.7266187050359713
1,auto,euclidean,0.0010001659393310547,0.7569955817378498,0.7777777777777778,0.7352517985611511
1,auto,manhattan,0.001001119613647461,0.7569955817378498,0.7829457364341085,0.7266187050359713
2,ball_tree,euclidean,0.013000249862670898,0.7290132547864506,0.8531317494600432,0.5683453237410072
2,ball_tree,manhattan,0.010793924331665039,0.7106038291605302,0.8416289592760181,0.5352517985611511
2,kd_tree,euclidean,0.020229816436767578,0.7290132547864506,0.8531317494600432,0.5683453237410072
2,kd_tree,manhattan,0.017064571380615234,0.7106038291605302,0.8416289592760181,0.5352517985611511
2,brute,euclidean,0.0009212493896484375,0.7290132547864506,0.8531317494600432,0.5683453237410072
2,brute,manhattan,0.0009996891021728516,0.7106038291605302,0.8416289592760181,0.5352517985611511
2,auto,euclidean,0.002000570297241211,0.7290132547864506,0.8531317494600432,0.5683453237410072
2,auto,manhattan,0.001001119613647461,0.7106038291605302,0.8416289592760181,0.5352517985611511
3,ball_tree,euclidean,0.013000249862670898,0.772459499263623,0.7915407854984894,0.753956834532374
3,ball_tree,manhattan,0.010884523391723633,0.7731958762886598,0.8,0.7424460431654676
3,kd_tree,euclidean,0.014994621276855469,0.772459499263623,0.7915407854984894,0.753956834532374
3,kd_tree,manhattan,0.013994693756103516,0.7731958762886598,0.8,0.7424460431654676
3,brute,euclidean,0.0010068416595458984,0.772459499263623,0.7915407854984894,0.753956834532374
3,brute,manhattan,0.002000570297241211,0.7731958762886598,0.8,0.7424460431654676
3,auto,euclidean,0.0017440319061279297,0.772459499263623,0.7915407854984894,0.753956834532374
3,auto,manhattan,0.0019991397857666016,0.7731958762886598,0.8,0.7424460431654676
4,ball_tree,euclidean,0.017000198364257812,0.7437407952871871,0.8255159474671669,0.6330935251798561
4,ball_tree,manhattan,0.009996175765991211,0.7378497790868925,0.8317025440313112,0.6115107913669064
4,kd_tree,euclidean,0.013993263244628906,0.7437407952871871,0.8255159474671669,0.6330935251798561
4,kd_tree,manhattan,0.013997077941894531,0.7378497790868925,0.8317025440313112,0.6115107913669064
4,brute,euclidean,0.0009918212890625,0.7437407952871871,0.8255159474671669,0.6330935251798561
