,loss,learning_rate,n_estimators,time,accuracy,precision,recall
0,log_loss,0.1,10,0.24406933784484863,0.8992101105845182,0.0,0.0
1,log_loss,0.1,20,0.4310176372528076,0.9052132701421801,0.6079545454545454,0.1677115987460815
2,log_loss,0.1,30,0.6012756824493408,0.9107424960505529,0.6181229773462783,0.2993730407523511
3,log_loss,0.1,40,0.759634256362915,0.9109004739336493,0.5948717948717949,0.36363636363636365
4,log_loss,0.1,50,0.9740481376647949,0.909952606635071,0.580952380952381,0.3824451410658307
5,log_loss,0.1,75,1.4894235134124756,0.9101105845181675,0.576837416481069,0.4059561128526646
6,log_loss,0.1,100,1.8765790462493896,0.9118483412322275,0.588495575221239,0.4169278996865204
7,log_loss,0.1,125,2.4247171878814697,0.9110584518167456,0.5835189309576837,0.4106583072100313
8,log_loss,0.1,150,2.861462354660034,0.9107424960505529,0.5816554809843401,0.40752351097178685
9,log_loss,0.1,200,3.766836166381836,0.9101105845181675,0.5775280898876405,0.40282131661442006
10,log_loss,0.1,250,4.722828388214111,0.9107424960505529,0.5816554809843401,0.40752351097178685
11,log_loss,0.1,300,5.63075852394104,0.9096366508688783,0.5739910313901345,0.4012539184952978
12,log_loss,0.1,350,6.569781064987183,0.9102685624012639,0.5777777777777777,0.40752351097178685
13,log_loss,0.1,400,7.487438201904297,0.9101105845181675,0.5764966740576497,0.40752351097178685
14,log_loss,0.1,500,9.504585266113281,0.9090047393364928,0.5682819383259912,0.4043887147335423
15,log_loss,0.5,10,0.19340777397155762,0.9088467614533965,0.5731414868105515,0.37460815047021945
16,log_loss,0.5,20,0.40328121185302734,0.9078988941548183,0.5601750547045952,0.4012539184952978
17,log_loss,0.5,30,0.5560557842254639,0.9085308056872038,0.5659955257270693,0.39655172413793105
18,log_loss,0.5,40,0.7700529098510742,0.9126382306477093,0.5977011494252874,0.40752351097178685
19,log_loss,0.5,50,0.9252448081970215,0.912954186413902,0.597752808988764,0.4169278996865204
20,log_loss,0.5,75,1.4200184345245361,0.9101105845181675,0.5789473684210527,0.39655172413793105
21,log_loss,0.5,100,1.8770368099212646,0.9105845181674566,0.5833333333333334,0.3949843260188088
22,log_loss,0.5,125,2.366387367248535,0.909478672985782,0.5733634311512416,0.3981191222570533
23,log_loss,0.5,150,2.795006036758423,0.9083728278041074,0.5633187772925764,0.4043887147335423
