loss,learning_rate,n_estimators,time,accuracy,precision,recall
log_loss,0.1,1,0.007009744644165039,0.7386503067484662,0.7914110429447853,0.6401985111662531
log_loss,0.1,6,0.026904821395874023,0.758282208588957,0.7783783783783784,0.7146401985111662
log_loss,0.1,11,0.050017595291137695,0.7619631901840491,0.7863013698630137,0.7121588089330024
log_loss,0.1,16,0.07379317283630371,0.7680981595092025,0.7907608695652174,0.7220843672456576
log_loss,0.1,21,0.08763575553894043,0.7705521472392638,0.7842105263157895,0.739454094292804
log_loss,0.1,26,0.12717843055725098,0.7766871165644171,0.7811704834605598,0.7617866004962779
log_loss,0.1,31,0.12971282005310059,0.7865030674846626,0.7928388746803069,0.7692307692307693
log_loss,0.1,36,0.15259408950805664,0.7754601226993865,0.775,0.7692307692307693
log_loss,0.1,41,0.18627405166625977,0.7779141104294478,0.7803030303030303,0.7667493796526055
log_loss,0.1,46,0.20491695404052734,0.7791411042944786,0.7780548628428927,0.7741935483870968
log_loss,0.5,1,0.005979299545288086,0.7386503067484662,0.7914110429447853,0.6401985111662531
log_loss,0.5,6,0.027016162872314453,0.7693251533742331,0.7763496143958869,0.749379652605459
log_loss,0.5,11,0.051759958267211914,0.7693251533742331,0.7882037533512064,0.7295285359801489
log_loss,0.5,16,0.07475924491882324,0.7619631901840491,0.7672634271099744,0.7444168734491315
log_loss,0.5,21,0.09581828117370605,0.7619631901840491,0.7672634271099744,0.7444168734491315
log_loss,0.5,26,0.10368227958679199,0.7644171779141105,0.7712082262210797,0.7444168734491315
log_loss,0.5,31,0.11461281776428223,0.7705521472392638,0.78125,0.7444168734491315
log_loss,0.5,36,0.1318047046661377,0.7656441717791411,0.7746113989637305,0.7419354838709677
log_loss,0.5,41,0.14156031608581543,0.7595092024539877,0.7702349869451697,0.7320099255583127
log_loss,0.5,46,0.15643978118896484,0.7521472392638037,0.7583547557840618,0.7320099255583127
log_loss,1.0,1,0.0039212703704833984,0.7386503067484662,0.7914110429447853,0.6401985111662531
log_loss,1.0,6,0.020933866500854492,0.7791411042944786,0.7851662404092071,0.7617866004962779
log_loss,1.0,11,0.03687858581542969,0.7742331288343558,0.7800511508951407,0.7568238213399504
log_loss,1.0,16,0.07374382019042969,0.7705521472392638,0.7727272727272727,0.7593052109181141
log_loss,1.0,21,0.07676339149475098,0.7595092024539877,0.760705289672544,0.749379652605459
log_loss,1.0,26,0.09546422958374023,0.7496932515337423,0.7518987341772152,0.7369727047146402
log_loss,1.0,31,0.12242770195007324,0.7521472392638037,0.749379652605459,0.749379652605459
log_loss,1.0,36,0.1325695514678955,0.7484662576687117,0.7475,0.7419354838709677
log_loss,1.0,41,0.148942232131958,0.750920245398773,0.7525252525252525,0.739454094292804
log_loss,1.0,46,0.16843938827514648,0.7521472392638037,0.7506234413965087,0.7468982630272953
log_loss,1.5,1,0.004946708679199219,0.7386503067484662,0.7914110429447853,0.6401985111662531
log_loss,1.5,6,0.021792173385620117,0.7411042944785277,0.75,0.7146401985111662
