neighbors,algorithm,metric,time,accuracy,precision,recall
1,ball_tree,euclidean,0.0030074119567871094,0.701840490797546,0.7051282051282052,0.6823821339950372
1,ball_tree,manhattan,0.0019998550415039062,0.7055214723926381,0.7012345679012346,0.7047146401985112
1,kd_tree,euclidean,0.002989053726196289,0.701840490797546,0.7051282051282052,0.6823821339950372
1,kd_tree,manhattan,0.0030035972595214844,0.7055214723926381,0.7012345679012346,0.7047146401985112
1,brute,euclidean,0.0,0.701840490797546,0.7051282051282052,0.6823821339950372
1,brute,manhattan,0.0010004043579101562,0.7055214723926381,0.7012345679012346,0.7047146401985112
1,auto,euclidean,0.006999969482421875,0.701840490797546,0.7051282051282052,0.6823821339950372
1,auto,manhattan,0.0050923824310302734,0.7055214723926381,0.7012345679012346,0.7047146401985112
2,ball_tree,euclidean,0.003004789352416992,0.694478527607362,0.7730496453900709,0.5409429280397022
2,ball_tree,manhattan,0.0019991397857666016,0.6920245398773006,0.7814814814814814,0.5235732009925558
2,kd_tree,euclidean,0.0050089359283447266,0.694478527607362,0.7730496453900709,0.5409429280397022
2,kd_tree,manhattan,0.003997087478637695,0.6920245398773006,0.7814814814814814,0.5235732009925558
2,brute,euclidean,0.0011322498321533203,0.694478527607362,0.7730496453900709,0.5409429280397022
2,brute,manhattan,0.0,0.6920245398773006,0.7814814814814814,0.5235732009925558
2,auto,euclidean,0.005000591278076172,0.694478527607362,0.7730496453900709,0.5409429280397022
2,auto,manhattan,0.007999897003173828,0.6920245398773006,0.7814814814814814,0.5235732009925558
3,ball_tree,euclidean,0.002998828887939453,0.7104294478527607,0.7113924050632912,0.6972704714640199
3,ball_tree,manhattan,0.0029287338256835938,0.7153374233128834,0.713216957605985,0.7096774193548387
3,kd_tree,euclidean,0.005002021789550781,0.7104294478527607,0.7113924050632912,0.6972704714640199
3,kd_tree,manhattan,0.003997087478637695,0.7153374233128834,0.713216957605985,0.7096774193548387
3,brute,euclidean,0.0010085105895996094,0.7104294478527607,0.7113924050632912,0.6972704714640199
3,brute,manhattan,0.0,0.7153374233128834,0.713216957605985,0.7096774193548387
3,auto,euclidean,0.004999637603759766,0.7104294478527607,0.7113924050632912,0.6972704714640199
3,auto,manhattan,0.005999565124511719,0.7153374233128834,0.713216957605985,0.7096774193548387
4,ball_tree,euclidean,0.003000974655151367,0.7251533742331289,0.7841269841269841,0.6129032258064516
4,ball_tree,manhattan,0.0043048858642578125,0.7190184049079754,0.7685185185185185,0.6178660049627791
4,kd_tree,euclidean,0.005992412567138672,0.7251533742331289,0.7841269841269841,0.6129032258064516
4,kd_tree,manhattan,0.007136106491088867,0.7190184049079754,0.7685185185185185,0.6178660049627791
4,brute,euclidean,0.0,0.7251533742331289,0.7841269841269841,0.6129032258064516
4,brute,manhattan,0.0009992122650146484,0.7190184049079754,0.7685185185185185,0.6178660049627791
4,auto,euclidean,0.0060002803802490234,0.7251533742331289,0.7841269841269841,0.6129032258064516
4,auto,manhattan,0.004999637603759766,0.7190184049079754,0.7685185185185185,0.6178660049627791
5,ball_tree,euclidean,0.0030062198638916016,0.7374233128834355,0.7356608478802993,0.7320099255583127
5,ball_tree,manhattan,0.00399017333984375,0.7361963190184049,0.7338308457711443,0.7320099255583127
5,kd_tree,euclidean,0.005006551742553711,0.7374233128834355,0.7356608478802993,0.7320099255583127
5,kd_tree,manhattan,0.005017280578613281,0.7361963190184049,0.7338308457711443,0.7320099255583127
5,brute,euclidean,0.0009872913360595703,0.7374233128834355,0.7356608478802993,0.7320099255583127
5,brute,manhattan,0.0010008811950683594,0.7361963190184049,0.7338308457711443,0.7320099255583127
5,auto,euclidean,0.00599980354309082,0.7374233128834355,0.7356608478802993,0.7320099255583127
5,auto,manhattan,0.006070137023925781,0.7361963190184049,0.7338308457711443,0.7320099255583127
6,ball_tree,euclidean,0.0029942989349365234,0.7349693251533742,0.7679083094555874,0.6650124069478908
6,ball_tree,manhattan,0.003001689910888672,0.7251533742331289,0.7579250720461095,0.652605459057072
6,kd_tree,euclidean,0.005004405975341797,0.7349693251533742,0.7679083094555874,0.6650124069478908
6,kd_tree,manhattan,0.004998922348022461,0.7251533742331289,0.7579250720461095,0.652605459057072
6,brute,euclidean,0.000993490219116211,0.7349693251533742,0.7679083094555874,0.6650124069478908
6,brute,manhattan,0.0,0.7251533742331289,0.7579250720461095,0.652605459057072
6,auto,euclidean,0.0070002079010009766,0.7349693251533742,0.7679083094555874,0.6650124069478908
6,auto,manhattan,0.004998207092285156,0.7251533742331289,0.7579250720461095,0.652605459057072
7,ball_tree,euclidean,0.0030059814453125,0.7276073619631902,0.7245657568238213,0.7245657568238213
7,ball_tree,manhattan,0.001988649368286133,0.7361963190184049,0.7338308457711443,0.7320099255583127
7,kd_tree,euclidean,0.005000114440917969,0.7276073619631902,0.7245657568238213,0.7245657568238213
7,kd_tree,manhattan,0.0040090084075927734,0.7361963190184049,0.7338308457711443,0.7320099255583127
7,brute,euclidean,0.0,0.7276073619631902,0.7245657568238213,0.7245657568238213
7,brute,manhattan,0.0,0.7361963190184049,0.7338308457711443,0.7320099255583127
7,auto,euclidean,0.0069997310638427734,0.7276073619631902,0.7245657568238213,0.7245657568238213
7,auto,manhattan,0.005003452301025391,0.7361963190184049,0.7338308457711443,0.7320099255583127
8,ball_tree,euclidean,0.0029973983764648438,0.7337423312883435,0.7597765363128491,0.674937965260546
8,ball_tree,manhattan,0.003005504608154297,0.7398773006134969,0.7736389684813754,0.6699751861042184
