kernel,probability,degree,time,accuracy,precision,recall
poly,True,1,1.8381156921386719,0.8424153166421208,0.8531571218795888,0.8359712230215828
poly,True,2,2.6379663944244385,0.7238586156111929,0.7228412256267409,0.7467625899280576
poly,True,3,2.329582452774048,0.8269513991163475,0.8402366863905325,0.8172661870503597
poly,True,4,2.656930685043335,0.788659793814433,0.8081570996978852,0.7697841726618705
poly,True,5,2.816516637802124,0.7768777614138439,0.8130990415335463,0.7323741007194244
poly,True,6,3.059832811355591,0.7371134020618557,0.8353174603174603,0.6057553956834533
poly,True,7,3.248927593231201,0.6899852724594993,0.8341463414634146,0.4920863309352518
poly,True,8,3.4054243564605713,0.6443298969072165,0.8441558441558441,0.37410071942446044
poly,True,9,3.3245725631713867,0.6310751104565537,0.8368055555555556,0.34676258992805753
poly,True,10,3.4125592708587646,0.617820324005891,0.8308270676691729,0.31798561151079136
