,restart,time,precision,accuracy
0,1,2.2299482822418213,0.5514644351464435,0.5787923416789397
1,2,2.219316244125366,0.5514644351464435,0.5787923416789397
2,3,2.180734872817993,0.5514644351464435,0.5787923416789397
3,4,2.1917314529418945,0.5514644351464435,0.5787923416789397
4,5,2.168990135192871,0.5514644351464435,0.5787923416789397
5,6,2.1762819290161133,0.5514644351464435,0.5787923416789397
6,7,2.2170510292053223,0.5514644351464435,0.5787923416789397
7,8,2.1877639293670654,0.5514644351464435,0.5787923416789397
8,9,2.245307445526123,0.5514644351464435,0.5787923416789397
9,10,2.383150815963745,0.5514644351464435,0.5787923416789397
10,11,2.4168598651885986,0.5514644351464435,0.5787923416789397
11,12,2.3053059577941895,0.5514644351464435,0.5787923416789397
12,13,2.328848361968994,0.5514644351464435,0.5787923416789397
13,14,2.4214091300964355,0.5514644351464435,0.5787923416789397
14,15,2.3801705837249756,0.5514644351464435,0.5787923416789397
15,16,2.3231303691864014,0.5514644351464435,0.5787923416789397
16,17,2.3330600261688232,0.5514644351464435,0.5787923416789397
17,18,2.265324592590332,0.5514644351464435,0.5787923416789397
18,19,2.1714608669281006,0.5514644351464435,0.5787923416789397
