,time,fit_score,sample_size,itterations,attempts,algorithm_name
0,0.07520675659179688,3236.2762899361487,5,5,2,Genetic
1,0.0,3084.809368480692,5,5,2,Random Hill Climb
2,0.23207831382751465,3236.2762899361487,5,5,2,MIMIC
3,0.0,3084.809368480692,5,5,2,Simulated Annealing
4,0.11750531196594238,3849.563375270842,5,5,4,Genetic
5,0.0,3849.563375270842,5,5,4,Random Hill Climb
6,0.3841123580932617,3849.563375270842,5,5,4,MIMIC
7,0.0005307197570800781,3849.563375270842,5,5,4,Simulated Annealing
8,0.10623335838317871,2181.411873488914,5,5,6,Genetic
9,0.0006701946258544922,2181.4118734889134,5,5,6,Random Hill Climb
10,0.36511969566345215,2181.411873488914,5,5,6,MIMIC
11,0.0,2143.9064476474964,5,5,6,Simulated Annealing
12,0.09847593307495117,2500.7192231899553,5,5,8,Genetic
13,0.0,2500.7192231899553,5,5,8,Random Hill Climb
14,0.3515286445617676,2500.7192231899553,5,5,8,MIMIC
15,0.00011658668518066406,2450.6172043874258,5,5,8,Simulated Annealing
16,0.10791325569152832,2228.9845881508545,5,5,10,Genetic
17,0.0004973411560058594,2228.9845881508545,5,5,10,Random Hill Climb
18,0.38082075119018555,2228.9845881508545,5,5,10,MIMIC
19,0.0,2075.977743569588,5,5,10,Simulated Annealing
20,0.09399843215942383,2367.080996567126,5,5,12,Genetic
21,0.0,2367.080996567126,5,5,12,Random Hill Climb
22,0.1510603427886963,2367.080996567126,5,5,12,MIMIC
23,0.0,2189.198893006715,5,5,12,Simulated Annealing
24,0.0687718391418457,2767.0043026893436,5,5,14,Genetic
25,0.0014684200286865234,2751.8869133324665,5,5,14,Random Hill Climb
26,0.1360793113708496,2767.0043026893436,5,5,14,MIMIC
27,0.0,2751.8869133324665,5,5,14,Simulated Annealing
28,0.03692793846130371,3471.698926553351,5,5,16,Genetic
29,0.001020669937133789,3471.698926553351,5,5,16,Random Hill Climb
30,0.13602590560913086,3471.698926553351,5,5,16,MIMIC
31,0.00013589859008789062,3471.698926553351,5,5,16,Simulated Annealing
32,0.036266326904296875,2920.4554285065083,5,5,18,Genetic
33,0.0,2920.455428506508,5,5,18,Random Hill Climb
34,0.11131763458251953,2920.4554285065083,5,5,18,MIMIC
35,0.0,2690.97082538092,5,5,18,Simulated Annealing
36,0.035466670989990234,4094.839136428308,5,5,20,Genetic
37,0.00017142295837402344,4006.055627881142,5,5,20,Random Hill Climb
38,0.126481294631958,4094.839136428308,5,5,20,MIMIC
39,0.0,4006.055627881142,5,5,20,Simulated Annealing
40,0.0439605712890625,5594.913535184757,10,5,2,Genetic
41,0.001108407974243164,4927.902118839923,10,5,2,Random Hill Climb
42,0.2449953556060791,5697.99652512025,10,5,2,MIMIC
43,0.0,5195.606081114371,10,5,2,Simulated Annealing
44,0.04667043685913086,5785.958947570509,10,5,4,Genetic
45,0.0,4734.495111615348,10,5,4,Random Hill Climb
46,0.24559426307678223,6016.439495877091,10,5,4,MIMIC
47,0.0,4810.209439614774,10,5,4,Simulated Annealing
48,0.04432964324951172,5820.085298321621,10,5,6,Genetic
49,0.0,5115.339623536262,10,5,6,Random Hill Climb
50,0.24563860893249512,5829.958521761993,10,5,6,MIMIC
51,0.0,5030.846100752086,10,5,6,Simulated Annealing
52,0.041589975357055664,6866.829875629464,10,5,8,Genetic
53,0.0,6728.02981334942,10,5,8,Random Hill Climb
54,0.2821919918060303,6822.68288912898,10,5,8,MIMIC
55,0.0005273818969726562,6672.590800052612,10,5,8,Simulated Annealing
56,0.04411435127258301,6249.573540734482,10,5,10,Genetic
57,0.000993967056274414,4320.404888325599,10,5,10,Random Hill Climb
58,0.2403714656829834,6394.8930693630755,10,5,10,MIMIC
59,0.0,4984.415642737735,10,5,10,Simulated Annealing
60,0.041724443435668945,6553.041252110384,10,5,12,Genetic
61,0.00058746337890625,5690.857808051037,10,5,12,Random Hill Climb
62,0.25878119468688965,6575.552132086465,10,5,12,MIMIC
63,0.0,5761.88230095324,10,5,12,Simulated Annealing
64,0.044403791427612305,7316.1743089490865,10,5,14,Genetic
65,0.0,5876.080332504801,10,5,14,Random Hill Climb
66,0.26465702056884766,7232.015883125627,10,5,14,MIMIC
67,0.0,6576.589118140672,10,5,14,Simulated Annealing
68,0.04117751121520996,5094.278465778889,10,5,16,Genetic
69,0.0,4964.655231109925,10,5,16,Random Hill Climb
70,0.24734020233154297,5201.702662404846,10,5,16,MIMIC
71,0.0009932518005371094,4964.655231109925,10,5,16,Simulated Annealing
72,0.04191470146179199,4648.479405852769,10,5,18,Genetic
73,0.00099945068359375,3499.481725676055,10,5,18,Random Hill Climb
74,0.3069345951080322,4592.834921426473,10,5,18,MIMIC
75,0.0,3897.518988783607,10,5,18,Simulated Annealing
76,0.046595096588134766,5630.182589377284,10,5,20,Genetic
77,0.0,5093.847178290047,10,5,20,Random Hill Climb
78,0.28574228286743164,5632.830708615403,10,5,20,MIMIC
79,0.0,5026.52151089007,10,5,20,Simulated Annealing
80,0.05442523956298828,9814.422606663444,15,5,2,Genetic
81,0.0,8465.863767127055,15,5,2,Random Hill Climb
82,0.40878772735595703,9646.47294484128,15,5,2,MIMIC
83,0.0,7782.262814298975,15,5,2,Simulated Annealing
84,0.06906700134277344,8760.33976804107,15,5,4,Genetic
85,0.0,7850.389601657604,15,5,4,Random Hill Climb
86,0.48400259017944336,8675.633596503254,15,5,4,MIMIC
87,0.0010149478912353516,6406.283155435816,15,5,4,Simulated Annealing
88,0.05265974998474121,9417.676848436067,15,5,6,Genetic
