,iteration,score,size,algorithm
129,2815.0,5859.683385446073,10,MIMIC
130,2.0,5201.025240229501,10,Simulated Annealing
131,3.0,5201.025240229501,10,Simulated Annealing
132,4.0,5201.025240229501,10,Simulated Annealing
133,5.0,5201.025240229501,10,Simulated Annealing
134,7.0,5550.140456087467,10,Simulated Annealing
135,8.0,5550.140456087467,10,Simulated Annealing
136,9.0,5550.140456087467,10,Simulated Annealing
137,10.0,5550.140456087467,10,Simulated Annealing
138,11.0,5550.140456087467,10,Simulated Annealing
139,12.0,5550.140456087467,10,Simulated Annealing
140,13.0,5550.140456087467,10,Simulated Annealing
141,14.0,5550.140456087467,10,Simulated Annealing
142,15.0,5550.140456087467,10,Simulated Annealing
143,16.0,5550.140456087467,10,Simulated Annealing
144,17.0,5550.140456087467,10,Simulated Annealing
145,402.0,11346.441625641413,15,Genetic
146,604.0,11578.221650217805,15,Genetic
147,805.0,11578.221650217805,15,Genetic
148,1007.0,11581.842617388864,15,Genetic
149,1209.0,11638.90316300202,15,Genetic
150,1411.0,11989.20210165226,15,Genetic
151,1613.0,12024.69978442615,15,Genetic
152,1814.0,12024.69978442615,15,Genetic
153,2015.0,12024.69978442615,15,Genetic
154,2217.0,12041.707736672504,15,Genetic
155,2418.0,12041.707736672504,15,Genetic
156,2619.0,12041.707736672504,15,Genetic
157,2820.0,12041.707736672504,15,Genetic
158,3022.0,12205.999760682806,15,Genetic
159,3223.0,12205.999760682806,15,Genetic
160,3424.0,12205.999760682806,15,Genetic
161,3626.0,12207.256309944905,15,Genetic
162,3827.0,12207.256309944905,15,Genetic
163,4029.0,12273.476143003843,15,Genetic
164,4231.0,12308.451901751636,15,Genetic
165,4432.0,12308.451901751636,15,Genetic
166,4633.0,12308.451901751636,15,Genetic
167,4834.0,12308.451901751636,15,Genetic
168,5035.0,12308.451901751636,15,Genetic
169,5236.0,12308.451901751636,15,Genetic
170,5438.0,12368.88550157661,15,Genetic
171,5639.0,12368.88550157661,15,Genetic
172,5840.0,12368.88550157661,15,Genetic
173,6042.0,12408.816455408316,15,Genetic
174,6243.0,12408.816455408316,15,Genetic
175,6444.0,12408.816455408316,15,Genetic
176,6645.0,12408.816455408316,15,Genetic
177,6846.0,12408.816455408316,15,Genetic
178,7047.0,12408.816455408316,15,Genetic
179,7248.0,12408.816455408316,15,Genetic
180,7449.0,12408.816455408316,15,Genetic
181,7650.0,12408.816455408316,15,Genetic
182,7851.0,12408.816455408316,15,Genetic
183,8052.0,12408.816455408316,15,Genetic
184,8054.0,9526.532305597724,15,Random Hill Climb
185,8055.0,9526.532305597724,15,Random Hill Climb
186,8056.0,9526.532305597724,15,Random Hill Climb
187,8057.0,9526.532305597724,15,Random Hill Climb
188,8058.0,9526.532305597724,15,Random Hill Climb
189,8060.0,9690.047616668715,15,Random Hill Climb
190,8061.0,9690.047616668715,15,Random Hill Climb
191,8062.0,9690.047616668715,15,Random Hill Climb
192,8063.0,9690.047616668715,15,Random Hill Climb
193,8064.0,9690.047616668715,15,Random Hill Climb
194,8065.0,9690.047616668715,15,Random Hill Climb
195,8067.0,9859.645862495938,15,Random Hill Climb
196,8068.0,9859.645862495938,15,Random Hill Climb
197,8069.0,9859.645862495938,15,Random Hill Climb
198,8070.0,9859.645862495938,15,Random Hill Climb
199,8072.0,10201.316984339312,15,Random Hill Climb
200,8074.0,10432.13077846323,15,Random Hill Climb
201,8075.0,10432.13077846323,15,Random Hill Climb
202,8076.0,10432.13077846323,15,Random Hill Climb
203,8077.0,10432.13077846323,15,Random Hill Climb
204,8078.0,10432.13077846323,15,Random Hill Climb
205,8079.0,10432.13077846323,15,Random Hill Climb
206,8080.0,10432.13077846323,15,Random Hill Climb
207,8082.0,11138.099071102046,15,Random Hill Climb
208,8084.0,11488.29582895918,15,Random Hill Climb
209,8085.0,11488.29582895918,15,Random Hill Climb
210,8086.0,11488.29582895918,15,Random Hill Climb
211,8087.0,11488.29582895918,15,Random Hill Climb
212,8088.0,11488.29582895918,15,Random Hill Climb
213,8089.0,11488.29582895918,15,Random Hill Climb
214,8090.0,11488.29582895918,15,Random Hill Climb
215,8091.0,11488.29582895918,15,Random Hill Climb
216,8093.0,11686.490526123078,15,Random Hill Climb
217,8094.0,11686.490526123078,15,Random Hill Climb
218,8095.0,11686.490526123078,15,Random Hill Climb
219,8096.0,11686.490526123078,15,Random Hill Climb
220,8097.0,11686.490526123078,15,Random Hill Climb
221,8098.0,11686.490526123078,15,Random Hill Climb
222,8099.0,11686.490526123078,15,Random Hill Climb
223,8100.0,11686.490526123078,15,Random Hill Climb
224,8101.0,11686.490526123078,15,Random Hill Climb
225,8103.0,11974.91665767056,15,Random Hill Climb
226,8104.0,11974.91665767056,15,Random Hill Climb
227,8105.0,11974.91665767056,15,Random Hill Climb
228,8106.0,11974.91665767056,15,Random Hill Climb
229,8107.0,11974.91665767056,15,Random Hill Climb
230,8108.0,11974.91665767056,15,Random Hill Climb
