,size,mutation,time,precision,accuracy
0,5,1,2.3433074951171875,0.8099173553719008,0.7680412371134021
1,5,6,0.6254217624664307,0.7313432835820896,0.7201767304860088
2,5,11,0.3176867961883545,0.7581818181818182,0.7010309278350515
3,5,16,0.3633267879486084,0.7201907790143084,0.6958762886597938
4,25,1,4.148990154266357,0.8207547169811321,0.792341678939617
5,25,6,2.6880440711975098,0.7686453576864536,0.751840942562592
6,25,11,1.714064598083496,0.7343234323432343,0.7010309278350515
7,25,16,2.225583553314209,0.7431192660550459,0.7260677466863034
8,45,1,8.03433609008789,0.8264331210191083,0.7938144329896907
9,45,6,5.3349785804748535,0.7593085106382979,0.7790868924889544
10,45,11,3.849822759628296,0.7666098807495741,0.7223858615611193
11,45,16,3.362004518508911,0.710691823899371,0.6892488954344624
12,65,1,18.799728393554688,0.8419452887537994,0.8232695139911634
13,65,6,10.261038780212402,0.8151815181518152,0.7731958762886598
14,65,11,5.4262237548828125,0.7721088435374149,0.727540500736377
15,65,16,3.2926926612854004,0.75,0.6656848306332842
16,85,1,26.569555521011353,0.8338150289017341,0.8321060382916053
17,85,6,5.914515733718872,0.7611940298507462,0.7496318114874816
18,85,11,4.51598596572876,0.7041095890410959,0.711340206185567
19,85,16,4.025106191635132,0.7868480725623582,0.6782032400589102
20,105,1,21.66339898109436,0.8363095238095238,0.8247422680412371
21,105,6,14.888656377792358,0.792778649921507,0.7665684830633285
22,105,11,3.6547627449035645,0.6851851851851852,0.6980854197349042
23,105,16,14.410379648208618,0.7725856697819314,0.7496318114874816
24,125,1,30.957502603530884,0.8407350689127105,0.8195876288659794
25,125,6,11.33861517906189,0.8189233278955954,0.7798232695139912
26,125,11,15.807472944259644,0.815742397137746,0.751840942562592
27,125,16,7.269733905792236,0.7508417508417509,0.711340206185567
28,145,1,41.666781187057495,0.8235294117647058,0.8240058910162003
29,145,6,24.375460386276245,0.7967359050445104,0.7864506627393225
30,145,11,5.384797811508179,0.7520798668885191,0.7150220913107511
31,145,16,5.403368234634399,0.7205387205387206,0.6848306332842415
32,165,1,28.897340059280396,0.8200589970501475,0.8114874815905744
33,165,6,8.241484880447388,0.70254110612855,0.6914580265095729
34,165,11,10.151423454284668,0.6847960444993819,0.7120765832106039
35,165,16,5.443544387817383,0.7657142857142857,0.6973490427098674
36,185,1,34.391581773757935,0.8189655172413793,0.8188512518409425
37,185,6,29.707658767700195,0.852991452991453,0.7960235640648011
38,185,11,10.861756801605225,0.7285714285714285,0.727540500736377
39,185,16,18.534149169921875,0.7643312101910829,0.7363770250368189
