,time,fit_score,sample_size,itterations,attempts,algorithm_name
0,0.11245560646057129,28342.574723977887,45,5,2,Genetic
1,0.0009965896606445312,24900.563444903273,45,5,2,Random Hill Climb
2,1.5013628005981445,27616.868379127034,45,5,2,MIMIC
3,0.0,24900.563444903273,45,5,2,Simulated Annealing
4,0.10257720947265625,28342.574723977887,45,5,4,Genetic
5,0.0009968280792236328,25042.931486429672,45,5,4,Random Hill Climb
6,2.4225943088531494,27616.868379127034,45,5,4,MIMIC
7,0.0009970664978027344,25432.651034873048,45,5,4,Simulated Annealing
8,0.11853551864624023,28342.574723977887,45,5,6,Genetic
9,0.0009963512420654297,25042.931486429672,45,5,6,Random Hill Climb
10,2.4854495525360107,27616.868379127034,45,5,6,MIMIC
11,0.0,25432.651034873048,45,5,6,Simulated Annealing
12,0.1252601146697998,28342.574723977887,45,5,8,Genetic
13,0.0,25042.931486429672,45,5,8,Random Hill Climb
14,2.615823745727539,27616.868379127034,45,5,8,MIMIC
15,0.0009961128234863281,25432.651034873048,45,5,8,Simulated Annealing
16,0.10272932052612305,28342.574723977887,45,5,10,Genetic
17,0.0,25042.931486429672,45,5,10,Random Hill Climb
18,2.4125685691833496,27616.868379127034,45,5,10,MIMIC
19,0.0,25432.651034873048,45,5,10,Simulated Annealing
20,0.11462187767028809,28342.574723977887,45,5,12,Genetic
21,0.0,25042.931486429672,45,5,12,Random Hill Climb
22,2.409524440765381,27616.868379127034,45,5,12,MIMIC
23,0.0,25432.651034873048,45,5,12,Simulated Annealing
24,0.10863661766052246,28342.574723977887,45,5,14,Genetic
25,0.0,25042.931486429672,45,5,14,Random Hill Climb
26,2.8268485069274902,27616.868379127034,45,5,14,MIMIC
27,0.0009965896606445312,25432.651034873048,45,5,14,Simulated Annealing
28,0.12178659439086914,28342.574723977887,45,5,16,Genetic
29,0.0,25042.931486429672,45,5,16,Random Hill Climb
30,2.3366479873657227,27616.868379127034,45,5,16,MIMIC
31,0.0,25432.651034873048,45,5,16,Simulated Annealing
32,0.0976715087890625,28342.574723977887,45,5,18,Genetic
33,0.0,25042.931486429672,45,5,18,Random Hill Climb
34,2.218980073928833,27616.868379127034,45,5,18,MIMIC
35,0.0,25432.651034873048,45,5,18,Simulated Annealing
36,0.09966516494750977,28342.574723977887,45,5,20,Genetic
37,0.0,25042.931486429672,45,5,20,Random Hill Climb
38,2.6673688888549805,27616.868379127034,45,5,20,MIMIC
39,0.0010013580322265625,25432.651034873048,45,5,20,Simulated Annealing
40,0.11464524269104004,28342.574723977887,45,5,2,Genetic
41,0.0,24900.563444903273,45,5,2,Random Hill Climb
42,1.5184121131896973,27616.868379127034,45,5,2,MIMIC
43,0.0,24900.563444903273,45,5,2,Simulated Annealing
44,0.10563373565673828,28342.574723977887,45,5,4,Genetic
45,0.0,25042.931486429672,45,5,4,Random Hill Climb
46,2.4749019145965576,27616.868379127034,45,5,4,MIMIC
47,0.0,25432.651034873048,45,5,4,Simulated Annealing
48,0.10562396049499512,28342.574723977887,45,5,6,Genetic
49,0.0,25042.931486429672,45,5,6,Random Hill Climb
50,2.4049196243286133,27616.868379127034,45,5,6,MIMIC
51,0.0,25432.651034873048,45,5,6,Simulated Annealing
52,0.09961223602294922,28342.574723977887,45,5,8,Genetic
53,0.0,25042.931486429672,45,5,8,Random Hill Climb
54,2.400587320327759,27616.868379127034,45,5,8,MIMIC
55,0.0010836124420166016,25432.651034873048,45,5,8,Simulated Annealing
56,0.10057592391967773,28342.574723977887,45,5,10,Genetic
57,0.0009965896606445312,25042.931486429672,45,5,10,Random Hill Climb
58,2.374255657196045,27616.868379127034,45,5,10,MIMIC
59,0.0009968280792236328,25432.651034873048,45,5,10,Simulated Annealing
60,0.10084152221679688,28342.574723977887,45,5,12,Genetic
61,0.0,25042.931486429672,45,5,12,Random Hill Climb
62,2.4283156394958496,27616.868379127034,45,5,12,MIMIC
63,0.0,25432.651034873048,45,5,12,Simulated Annealing
64,0.11057233810424805,28342.574723977887,45,5,14,Genetic
65,0.0009968280792236328,25042.931486429672,45,5,14,Random Hill Climb
66,2.3269948959350586,27616.868379127034,45,5,14,MIMIC
67,0.0,25432.651034873048,45,5,14,Simulated Annealing
68,0.10467529296875,28342.574723977887,45,5,16,Genetic
69,0.0,25042.931486429672,45,5,16,Random Hill Climb
70,2.31510591506958,27616.868379127034,45,5,16,MIMIC
71,0.0,25432.651034873048,45,5,16,Simulated Annealing
72,0.1036536693572998,28342.574723977887,45,5,18,Genetic
73,0.0,25042.931486429672,45,5,18,Random Hill Climb
74,2.349855661392212,27616.868379127034,45,5,18,MIMIC
75,0.0,25432.651034873048,45,5,18,Simulated Annealing
76,0.10564589500427246,28342.574723977887,45,5,20,Genetic
77,0.0,25042.931486429672,45,5,20,Random Hill Climb
78,2.3333842754364014,27616.868379127034,45,5,20,MIMIC
79,0.0009968280792236328,25432.651034873048,45,5,20,Simulated Annealing
80,0.10066866874694824,28342.574723977887,45,5,2,Genetic
81,0.0,24900.563444903273,45,5,2,Random Hill Climb
82,1.4621555805206299,27616.868379127034,45,5,2,MIMIC
83,0.0,24900.563444903273,45,5,2,Simulated Annealing
84,0.10664224624633789,28342.574723977887,45,5,4,Genetic
85,0.0,25042.931486429672,45,5,4,Random Hill Climb
86,2.345846652984619,27616.868379127034,45,5,4,MIMIC
87,0.0,25432.651034873048,45,5,4,Simulated Annealing
88,0.10165166854858398,28342.574723977887,45,5,6,Genetic
89,0.0,25042.931486429672,45,5,6,Random Hill Climb
90,2.325103282928467,27616.868379127034,45,5,6,MIMIC
